#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
AE004091.2.fa,AE004091.2,177307,178458,+,TriA,1-1152/1152,===============,0/0,100.00,100.00,card,AE004091.2:177306-178458,TriA is a membrane protein that is fused to TriB and both are required for the triclosan efflux pump function of TriABC-OpmH in P. aeruginosa.,triclosan
AE004091.2.fa,AE004091.2,178455,179525,+,TriB,1-1071/1071,===============,0/0,100.00,100.00,card,AE004091.2:178454-179525,TriB is a membrane protein that is fused to TriA and both are required for the triclosan efflux pump function of TriABC-OpmH in P. aeruginosa.,triclosan
AE004091.2.fa,AE004091.2,179522,182569,+,TriC,1-3048/3048,===============,0/0,100.00,100.00,card,AE004091.2:179521-182569,TriC is a resistance nodulation cell division (RND) transporter that is a part of TriABC-OpmH a triclosan-specific efflux protein.,triclosan
AE004091.2.fa,AE004091.2,472024,473175,+,MexA,1-1152/1152,===============,0/0,100.00,100.00,card,AE004091.2:472023-473175,MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.,aminocoumarin;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline
AE004091.2.fa,AE004091.2,473191,476331,+,MexB,1-3141/3141,===============,0/0,100.00,99.97,card,L11616:1569-4710,MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.,aminocoumarin;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline
AE004091.2.fa,AE004091.2,476333,477790,+,OprM,1-1458/1458,===============,0/0,100.00,100.00,card,AE004091.2:476332-477790,OprM is an outer membrane factor protein found in Pseudomonas aeruginosa and Burkholderia vietnamiensis. It is part of the MexAB-OprM MexVW-OprM MexXY-OprM and the AmrAB-OprM complex.,acridine_dye;aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline
AE004091.2.fa,AE004091.2,779463,780101,-,Pseudomonas_aeruginosa_catB7,1-639/639,===============,0/0,100.00,100.00,card,NC_002516.2:780101-779462,catB7 is a chromosome-encoded variant of the cat gene found in Pseudomonas aeruginosa,phenicol
AE004091.2.fa,AE004091.2,1221691,1222098,+,fosA,1-408/408,===============,0/0,100.00,100.00,card,AE004091.2:1221690-1222098,An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin rendering it ineffective as an antibacterial drug.,fosfomycin
AE004091.2.fa,AE004091.2,1472547,1473980,-,PmpM,1-1434/1434,===============,0/0,100.00,100.00,card,AE004091.2:1473980-1472546,PmpM is a multidrug efflux pump belonging to the MATE family of Pseudomonas aeruginosa. PmpM is an H+ drug antiporter and is the first reported case of an H+ coupled efflux pump in the MATE family. PmpM confers resistance to fluoroquinolones fradiomycin benzalkonium chloride chlorhexidine gluconate ethidium bromide tetraphenylphosphonium chloride (TPPCl) and rhodamine 6G.,aminoglycoside;benzalkonium_chloride;fluoroquinolone
AE004091.2.fa,AE004091.2,1562813,1563970,+,mexM,1-1158/1158,===============,0/0,100.00,99.91,card,AB219523.1:21-1179,mexM is the membrane fusion protein of the MexMN-OprM multidrug efflux complex.,phenicol
AE004091.2.fa,AE004091.2,1563967,1567077,+,mexN,1-3111/3111,===============,0/0,100.00,99.97,card,AB219523.1:1175-4286,MexN is the inner membrane transporter of the MexMN-OprM multidrug efflux complex.,phenicol
AE004091.2.fa,AE004091.2,2208169,2211306,-,mexY,1-3141/3141,========/======,8/9,99.81,99.40,card,AB015853:1330-4471,MexY is the RND-type membrane protein of the efflux complex MexXY-OprM.,acridine_dye;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;phenicol;tetracycline
AE004091.2.fa,AE004091.2,2211322,2212501,-,mexX,1-1170/1170,========/======,7/10,100.00,98.64,card,AB015853:145-1315,MexX is the membrane fusion protein of the MexXY-OprM multidrug efflux complex.,acridine_dye;aminoglycoside;carbapenem;cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;phenicol;tetracycline
AE004091.2.fa,AE004091.2,2503425,2503895,-,Pseudomonas_aeruginosa_soxR,1-471/471,===============,0/0,100.00,100.00,card,AE004091.2:2503895-2503424,SoxR is a redox-sensitive transcriptional activator that induces expression of a small regulon that includes the RND efflux pump-encoding operon mexGHI-opmD. SoxR was shown to be activated by pyocyanin.,acridine_dye;cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
AE004091.2.fa,AE004091.2,2808743,2809987,+,MexE,1-1245/1245,===============,0/0,100.00,100.00,card,AE004091.2:2808742-2809987,MexE is the membrane fusion protein of the MexEF-OprN multidrug efflux complex.,diaminopyrimidine;fluoroquinolone;phenicol
AE004091.2.fa,AE004091.2,2810009,2813197,+,MexF,1-3189/3189,===============,0/0,100.00,100.00,card,AE004091.2:2810008-2813197,MexF is the multidrug inner membrane transporter of the MexEF-OprN complex. mexF corresponds to 2 loci in Pseudomonas aeruginosa PAO1 (gene name: mexF/mexB) and 4 loci in Pseudomonas aeruginosa LESB58 (gene name: mexD/mexB).,diaminopyrimidine;fluoroquinolone;phenicol
AE004091.2.fa,AE004091.2,2813194,2814612,+,OprN,1-1419/1419,===============,0/0,100.00,100.00,card,AE004091.2:2813193-2814612,OprN is the outer membrane channel component of the MexEF-OprN multidrug efflux complex.,diaminopyrimidine;fluoroquinolone;phenicol
AE004091.2.fa,AE004091.2,2846283,2847779,-,OpmB,1-1497/1497,===============,0/0,100.00,100.00,card,AE004091.2:2847779-2846282,OpmB is an outer membrane efflux protein in Pseudomonas aeruginosa that shows functional cooperation with MuxABC to form the efflux pump system MuxABC-OpmB.,aminocoumarin;macrolide;monobactam;tetracycline
AE004091.2.fa,AE004091.2,2847776,2850886,-,MuxC,1-3111/3111,===============,0/0,100.00,100.00,card,AE004091.2:2850886-2847775,MuxC is one of the two necessary RND components of the MuxABC-OpmB efflux pumps system in Pseudomonas aeruginosa.,aminocoumarin;macrolide;monobactam;tetracycline
AE004091.2.fa,AE004091.2,2850883,2854014,-,MuxB,1-3132/3132,===============,0/0,100.00,100.00,card,AE004091.2:2854014-2850882,MuxB is one of the two necessary RND components in the Pseudomonas aeruginosa efflux pump system MuxABC-OpmB.,aminocoumarin;macrolide;monobactam;tetracycline
AE004091.2.fa,AE004091.2,2854011,2855291,-,MuxA,1-1281/1281,===============,0/0,100.00,100.00,card,AE004091.2:2855291-2854010,MuxA is a membrane fusion protein component of the efflux pump system MuxABC-OpmB in Pseudomonas aeruginosa.,aminocoumarin;macrolide;monobactam;tetracycline
AE004091.2.fa,AE004091.2,3594581,3595258,+,Pseudomonas_aeruginosa_CpxR,1-678/678,===============,0/0,100.00,100.00,card,LT673656.1:1885022-1884344,CpxR is directly involved in activation of expression of RND efflux pump MexAB-OprM in P. aeruginosa. CpxR is required to enhance mexAB-oprM expression and drug resistance in the absence of repressor MexR.,aminocoumarin;aminoglycoside;carbapenem;cephalosporin;cephamycin;diaminopyrimidine;fluoroquinolone;macrolide;monobactam;penam;penem;peptide;phenicol;sulfonamide;tetracycline
AE004091.2.fa,AE004091.2,3938020,3939495,-,opmE,1-1476/1476,===============,0/0,100.00,100.00,card,AB219524.1:4334-5810,opmE is an outer membrane factor protein that is part of the multidrug efflux pump MexPQ-OpmE.,acridine_dye;carbapenem;diaminopyrimidine;macrolide;phenicol;tetracycline
AE004091.2.fa,AE004091.2,3939492,3942653,-,mexQ,1-3162/3162,===============,0/0,100.00,99.97,card,AB219524.1:1176-4338,MexQ is the inner membrane transporter of the multidrug efflux pump MexPQ-OpmE.,acridine_dye;carbapenem;diaminopyrimidine;macrolide;phenicol;tetracycline
