#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
AE004091.2.fa,AE004091.2,58786,60159,+,exoT,1-1374/1374,===============,0/0,100,100,vfdb,NP_248734,(exoT) type III secretion system effector ExoT ADP ribosyltransferase activity and GTPase-activating protein activity [ExoT (VF0097)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,66303,68135,+,phzH,1-1833/1833,===============,0/0,100,100,vfdb,NP_248741,(phzH) phenazine-modifying enzyme [Phenazines biosynthesis (CVF536)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,82404,83318,-,tagQ,1-915/915,===============,0/0,100,100,vfdb,NP_248760,(tagQ) type VI secretiona ssociated protein TagQ outer membrane lipoprotein [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,83380,85092,-,tagR,1-1713/1713,===============,0/0,100,100,vfdb,NP_248761,(tagR) type IV secretion associated protein TagR positively regulates PpkA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,85085,86284,-,tagS,1-1200/1200,===============,0/0,100,100,vfdb,NP_248762,(tagS) type IV secretion associated protein TagS forming a stable inner membrane complex with TagT [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,86284,87003,-,tagT,1-720/720,===============,0/0,100,100,vfdb,NP_248763,(tagT) type six secretion associated protein TagT ATP-binding component of ABC transporter [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,87000,90098,-,ppkA,1-3099/3099,===============,0/0,100,100,vfdb,NP_248764,(ppkA) serine/threonine protein kinase PpkA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,90106,90834,-,pppA,1-729/729,===============,0/0,100,100,vfdb,NP_248765,(pppA) Pseudomonas protein phosphatase PppA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,90844,91524,-,tagF/pppB,1-681/681,===============,0/0,100,100,vfdb,NP_248766,(tagF/pppB) Pseudomonas protein phosphatase PppB [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,91521,94826,-,icmF1/tssM1,1-3306/3306,===============,0/0,100,100,vfdb,NP_248767,(icmF1/tssM1) type VI secretion system protein IcmF1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,95048,96397,-,dotU1,1-1350/1350,===============,0/0,100,100,vfdb,NP_248768,(dotU1) type VI secretion system protein DotU [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,96404,97738,-,hsiJ1,1-1335/1335,===============,0/0,100,100,vfdb,NP_248769,(hsiJ1) type VI secretion system hcp secretion island protein HsiJ1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,97754,98218,-,lip1,1-465/465,===============,0/0,100,100,vfdb,NP_248770,(lip1) lipoprotein [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,98263,99756,-,fha1,1-1494/1494,===============,0/0,100,100,vfdb,NP_248771,(fha1) type VI secretion system forkhead-associated protein Fha1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,100124,101158,+,hsiA1,1-1035/1035,===============,0/0,100,100,vfdb,NP_248772,(hsiA1) type VI secretion system hcp secretion island protein HsiA1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,101247,101765,+,hsiB1/vipA,1-519/519,===============,0/0,100,100,vfdb,NP_248773,(hsiB1/vipA) type VI secretion system tubule-forming protein VipA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,101778,103274,+,hsiC1/vipB,1-1497/1497,===============,0/0,100,100,vfdb,NP_248774,(hsiC1/vipB) type VI secretion system tubule-forming protein VipB [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,103350,103838,+,hcp1,1-489/489,===============,0/0,100,100,vfdb,NP_248775,(hcp1) type VI secretion system substrate Hcp1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,104006,104851,+,hsiE1,1-846/846,===============,0/0,100,100,vfdb,NP_248776,(hsiE1) type VI secretion system hcp secretion island protein HsiE1 interacting with HsiB1 to form a novel subcomplex of the T6SS [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,104853,105362,+,hsiF1,1-510/510,===============,0/0,100,100,vfdb,NP_248777,(hsiF1) type VI secretion system hcp secretion island protein HsiF1 a gp25-like protein but not exhibit lysozyme activity [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,105359,107218,+,hsiG1,1-1860/1860,===============,0/0,100,100,vfdb,NP_248778,(hsiG1) type VI secretion system hcp secretion island protein HsiG1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,107182,108228,+,hsiH1,1-1047/1047,===============,0/0,100,100,vfdb,NP_248779,(hsiH1) type VI secretion system hcp secretion island protein HsiH1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,108221,110929,+,clpV1,1-2709/2709,===============,0/0,100,100,vfdb,NP_248780,(clpV1) type VI secretion system AAA+ family ATPase [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,110976,112907,+,vgrG1a,1-1932/1932,===============,0/0,100,100,vfdb,NP_248781,(vgrG1a) type VI secretion system substrate VgrG1 [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,115299,117524,+,vgrG1b,1-2226/2226,===============,0/0,100,100,vfdb,NP_248785,(vgrG1b) type VI secretion system substrate VgrG1b [HSI-1 (Hcp-secretion island 1) (SS178)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,436570,437604,+,pilT,1-1035/1035,===============,0/0,100,100,vfdb,NP_249086,(pilT) twitching motility protein PilT [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,437782,438930,+,pilU,1-1149/1149,===============,0/0,100,100,vfdb,NP_249087,(pilU) twitching motility protein PilU [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,449639,450046,+,pilG,1-408/408,===============,0/0,100,100,vfdb,NP_249099,(pilG) twitching motility protein PilG [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,450093,450458,+,pilH,1-366/366,===============,0/0,100,100,vfdb,NP_249100,(pilH) twitching motility protein PilH [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,450509,451045,+,pilI,1-537/537,===============,0/0,100,100,vfdb,NP_249101,(pilI) twitching motility protein PilI [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,451130,453178,+,pilJ,1-2049/2049,===============,0/0,100,100,vfdb,NP_249102,(pilJ) twitching motility protein PilJ [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,453239,454114,+,pilK,1-876/876,===============,0/0,100,100,vfdb,NP_249103,(pilK) methyltransferase PilK [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,454126,461544,+,chpA,1-7419/7419,===============,0/0,100,100,vfdb,NP_249104,(chpA) still frameshift probable component of chemotactic signal transduction system [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,461537,462568,+,chpB,1-1032/1032,===============,0/0,100,100,vfdb,NP_249105,(chpB) probable methylesterase [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,462565,463071,+,chpC,1-507/507,===============,0/0,100,100,vfdb,NP_249106,(chpC) probable chemotaxis protein [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,463079,463873,+,chpD,1-795/795,===============,0/0,100,100,vfdb,NP_249107,(chpD) probable transcriptional regulator [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,463949,464560,+,chpE,1-612/612,===============,0/0,100,100,vfdb,NP_249108,(chpE) probable chemotaxis protein [Type IV pili (VF0082)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,831301,831882,+,algU,1-582/582,===============,0/0,100,100,vfdb,NP_249453,(algU) alginate biosynthesis protein AlgZ/FimS [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,831914,832498,+,mucA,1-585/585,===============,0/0,100,100,vfdb,NP_249454,(mucA) alkaline metalloproteinase precursor [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,832507,833457,+,mucB,1-951/951,===============,0/0,100,100,vfdb,NP_249455,(mucB) anti-sigma factor MucA inhibitor of alg gene expression [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,833454,833909,+,mucC,1-456/456,===============,0/0,100,100,vfdb,NP_249456,(mucC) negative regulator for alginate biosynthesis MucB [Alginate (VF0091)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,833949,835373,+,mucD,1-1425/1425,===============,0/0,100,100,vfdb,NP_249457,(mucD) serine protease MucD precursor [Alginate regulation (CVF523)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,919258,921450,-,plcH,1-2193/2193,===============,0/0,100,100,vfdb,NP_249535,(plcH) hemolytic phospholipase C precursor [PLC (VF0092)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1164275,1164682,+,flgB,1-408/408,===============,0/0,100,100,vfdb,NP_249768,(flgB) flagellar basal body rod protein FlgB [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1164688,1165128,+,flgC,1-441/441,===============,0/0,100,100,vfdb,NP_249769,(flgC) flagellar basal-body rod protein FlgC [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1165141,1165854,+,flgD,1-714/714,===============,0/0,100,100,vfdb,NP_249770,(flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1165882,1167270,+,flgE,1-1389/1389,===============,0/0,100,100,vfdb,NP_249771,(flgE) flagellar hook protein FlgE [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1167488,1168237,+,flgF,1-750/750,===============,0/0,100,100,vfdb,NP_249772,(flgF) flagellar basal-body rod protein FlgF [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1168284,1169069,+,flgG,1-786/786,===============,0/0,100,100,vfdb,NP_249773,(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1169115,1169810,+,flgH,1-696/696,===============,0/0,100,100,vfdb,NP_249774,(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1169822,1170931,+,flgI,1-1110/1110,===============,0/0,100,100,vfdb,NP_249775,(flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1170942,1172144,+,flgJ,1-1203/1203,===============,0/0,100,100,vfdb,NP_249776,(flgJ) flagellar rod assembly protein/muramidase FlgJ [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1172163,1174214,+,flgK,1-2052/2052,===============,0/0,100,100,vfdb,NP_249777,(flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1174240,1175559,+,flgL,1-1320/1320,===============,0/0,100,100,vfdb,NP_249778,(flgL) flagellar hook-associated protein 3 FlgL [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1183058,1184524,+,fliC,1-1467/1467,===============,0/0,100,100,vfdb,NP_249783,(fliC) B-type flagellin [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1184603,1184974,+,fleI/flag,1-372/372,===============,0/0,100,100,vfdb,NP_249784,(fleI/flag) flagellar protein FlaG [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1185060,1186484,+,fliD,1-1425/1425,===============,0/0,100,100,vfdb,NP_249785,(fliD) flagellar capping protein FliD [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1186606,1186986,+,fliS,1-381/381,===============,0/0,100,100,vfdb,NP_249786,(fliS) flagellar protein FliS [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1187009,1187305,+,fleP,1-297/297,===============,0/0,100,100,vfdb,NP_249787,(fleP) flagellar protein FliT [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1187587,1189059,+,fleQ,1-1473/1473,===============,0/0,100,100,vfdb,NP_249788,(fleQ) transcriptional regulator FleQ [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1189172,1190380,+,fleS,1-1209/1209,===============,0/0,100,100,vfdb,NP_249789,(fleS) two-component sensor [Deoxyhexose linking sugar 209 Da capping structure (AI138)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1190385,1191806,+,fleR,1-1422/1422,===============,0/0,100,100,vfdb,NP_249790,(fleR) two-component response regulator [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1192053,1192382,+,fliE,1-330/330,===============,0/0,100,100,vfdb,NP_249791,(fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1192405,1194201,+,fliF,1-1797/1797,===============,0/0,100,100,vfdb,NP_249792,(fliF) flagellar M-ring protein FliF [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1194207,1195223,+,fliG,1-1017/1017,===============,0/0,100,100,vfdb,NP_249793,(fliG) flagellar motor switch protein G [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1195225,1196031,+,fliH,1-807/807,===============,0/0,100,100,vfdb,NP_249794,(fliH) flagellar assembly protein H [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1196021,1197376,+,fliI,1-1356/1356,===============,0/0,100,100,vfdb,NP_249795,(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1197390,1197833,+,fliJ,1-444/444,===============,0/0,100,100,vfdb,NP_249796,(fliJ) flagellar protein FliJ [Flagella (VF0273)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1222095,1223072,-,rhlC,1-978/978,===============,0/0,100,100,vfdb,NP_249821,(rhlC) rhamnosyltransferase 2 [Rhamnolipid biosynthesis (CVF524)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1240584,1242500,-,toxA,1-1917/1917,===============,0/0,100,100,vfdb,NP_249839,(toxA) exotoxin A precursor [ExoA (VF0086)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1355631,1357070,+,aprA,1-1440/1440,===============,0/0,100,100,vfdb,NP_249940,(aprA) alkaline metalloproteinase precursor [Alkaline protease (VF0090)] [Pseudomonas aeruginosa PAO1],
AE004091.2.fa,AE004091.2,1559254,1559859,+,lasI,1-606/606,===============,0/0,100,100,vfdb,NP_250123,(lasI) autoinducer synthesis protein LasI [Quorum sensing (VF0093)] [Pseudomonas aeruginosa PAO1],
